ISO-3 code,Number of commercial banks,Branches of commercial banks,Number of Automated Teller Machines (ATMs),Outstanding deposits with commercial banks,Outstanding loans from commercial banks,"Number of commercial bank branches per 1,000 km2","Number of commercial bank branches per 100,000 adults","Number of ATMs per 1,000 km2","Number of ATMs per 100,000 adults",Outstanding deposits with commercial banks (% of GDP),Outstanding loans from commercial banks (% of GDP)
MNG,14,1511,2031,1.40E+07,1.35E+07,0.9816164,69.63486,1.30732,92.73994,50.08124,48.41903
MNE,15,207,412,2351.808,2091.14,16.50558,43.56238,30.63197,80.8455,54.70478,48.64146
MSR,2,1,2,204.619,83.64,0,0,0,0,0,0
MAR,24,6390,7023,901412.2,836699.2,14.3715,24.82718,15.73605,27.18449,84.7752,78.68914
MOZ,19,659,1745,327882.2,211296,0.8621786,4.286511,2.219029,11.03239,40.7579,26.26547
MMR,40,1797,1710,2.91E+07,1.68E+07,2.812825,4.703088,2.618362,4.377943,32.13879,18.59456
0M,0,0,0,0,0,0,0,0,0,0,0
NPL,28,2274,2081,2093256,1735899,16.0586,12.0572,14.51692,10.89967,79.21212,65.68916
NLD,92,1616,6389,655090,817856,50.69754,11.92784,189.6408,44.61766,88.88024,110.9637
NZL,26,1024,2534,327442.1,428840,3.987695,27.29863,9.623638,65.88069,114.8404,150.4026
NIC,8,487,779,149028.5,156229.1,4.113346,10.92439,6.473326,17.19212,35.82305,37.55392
NER,12,155,186,866543,863735,0.1318386,1.552282,0.1468382,1.728889,18.33395,18.27454
NGA,21,4721,17449,1.91E+07,1.57E+07,5.206583,4.435715,19.15851,16.32197,16.65723,13.69948
MKD,15,430,1031,339281.1,297575.7,17.64473,25.65575,40.88025,59.44062,55.02451,48.26074
NOR,37,202,1580,1423755,1642592,0.6545739,5.508113,4.327309,36.41347,43.08613,49.70865
OMN,18,512,1367,11890,22212,1.712439,14.52781,4.416801,37.47079,43.68689,81.61256
PAK,33,13628,13409,9899476,5690255,17.72131,10.07492,17.39441,9.889068,30.97205,17.80285
PLW,5,0,8,278,36,0,0,17.3913,45.84527,95.35429,12.34804
PAN,75,588,2103,73049,65345,8.918483,22.23334,28.28894,70.52295,117.2841,104.9149
PNG,4,77,463,0,0,0.1788632,1.498416,1.022391,8.565021,0,0
PRY,17,476,1304,8.44E+07,7.34E+07,1.240876,10.16868,3.282155,26.89646,38.49258,33.48195
PER,15,1748,24892,222008.8,230297.3,1.377344,7.721213,19.44687,109.0167,32.31395,33.52036
PHL,43,6440,20279,8180727,5241351,21.74263,9.027139,68.01154,28.23714,51.75187,33.15717
POL,63,9412,23230,919928.6,945153.5,30.94484,29.29094,75.86793,71.81304,46.24351,47.51153
PRT,53,3422,14939,164066,178579,37.93436,39.06306,163.0796,167.9318,84.30352,91.76087
QAT,17,198,1342,652035.5,787665.3,18.51852,9.162169,115.59,57.18898,107.3097,129.6312
ROU,26,4393,11069,279001.2,227532.5,19.20636,26.62418,48.10935,66.69,32.56595,26.55836
RUS,517,34275,195234,4.07E+07,3.81E+07,2.12446,29.22286,11.92133,163.983,44.23438,41.38238
RWA,11,432,406,1429486,1292681,17.95703,6.176685,16.45724,5.660799,18.81791,17.017
WSM,4,24,62,1024.238,1083.945,9.893993,22.60234,21.90813,50.04803,48.00055,50.7987
SMR,7,47,52,3289,1457,900,189.9268,866.6667,182.8925,226.9841,100.5521
STP,6,23,32,2386,2077,30.20833,24.49883,33.33333,27.03319,29.26243,25.47278
SAU,25,2079,18333,1619062,1337893,0.9787458,8.494203,8.528206,74.01341,62.70092,51.81218
SEN,25,479,499,4497124,4026459,2.617774,5.722525,2.591804,5.665754,36.64682,32.8114
